scenario,point,beta,emitterCurrentAmp,collectorCurrentAmp,baseCurrentAmp,gmSiemens,reOhm,rPiOhm,note
confirmed_dc_without_R14C6_and_without_R17,low,50,0.00459932405165456,0.004509141227112314,0.00009018282454224627,0.1744348637180779,5.732798929554603,286.6399464777301,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_and_without_R17,high,50,0.004910889355742297,0.004814597407590487,0.00009629194815180974,0.18625135039034765,5.369088588642117,268.4544294321058,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_and_without_R17,low,100,0.00459932405165456,0.00455378618975699,0.000045537861897569904,0.17616194157667273,5.676595018480538,567.6595018480538,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_and_without_R17,high,100,0.004910889355742297,0.004862266688853759,0.00004862266688853759,0.18809542316648972,5.316450465224056,531.6450465224057,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_and_without_R17,low,200,0.00459932405165456,0.004576441842442348,0.000022882209212211742,0.17703836914670593,5.648493062943506,1129.698612588701,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_and_without_R17,high,200,0.004910889355742297,0.004886457070390345,0.000024432285351951726,0.1890312212916961,5.290131403515027,1058.0262807030053,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_with_R17_candidate,low,50,0.004672853463419266,0.0045812288857051625,0.00009162457771410326,0.17722355457273356,5.642590808038411,282.1295404019205,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_with_R17_candidate,high,50,0.004984418767507002,0.004886685066183336,0.00009773370132366671,0.18904004124500332,5.289884584313864,264.49422921569317,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_with_R17_candidate,low,100,0.004672853463419266,0.0046265875875438275,0.00004626587587543828,0.17897824323186953,5.587271290312544,558.7271290312544,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_with_R17_candidate,high,100,0.004984418767507002,0.0049350680866405965,0.00004935068086640597,0.1909117248216865,5.2380229707421595,523.802297074216,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_with_R17_candidate,low,200,0.004672853463419266,0.004649605436238075,0.00002324802718119038,0.1798686822529236,5.559611531449611,1111.922306289922,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
confirmed_dc_without_R14C6_with_R17_candidate,high,200,0.004984418767507002,0.004959620664186072,0.00002479810332093036,0.1918615343979138,5.2120921639563065,1042.4184327912615,If a single forward-active BJT supplies N05 as emitter current; topology still not fixed.
