vcmd,converged,iterations,NB,NL,NR,N14,N15,sourceCurrent,D3_id,D3_rd,D4_id,D4_rd,D2_id,D2_rd,D1_id,D1_rd
0,true,1,0,0,0,0,0,0,0,43948400000,0,4136320.0000000005,0,43948400000,0,4136320.0000000005
0.1,true,24,0.09512165810471072,0.00003214990085050715,0.00003214990085050715,3.004139738560872e-7,3.0041397385608713e-7,-2.439170933570885e-7,7.702954559595642e-12,5049825286.234969,7.702922406569446e-12,4133136.277196099,7.702954559595642e-12,5049825286.234969,7.702922406569446e-12,4133136.277196099
0.25,true,24,0.23779657315485586,0.0009016256426856073,0.0009016256426856073,0.000008512439943611585,0.000008512439943611583,-6.101713401461457e-7,2.18268592612194e-10,200431805.92547816,2.1826769086436883e-10,4047965.981257345,2.18268592612194e-10,200431805.92547816,2.1826769086436883e-10,4047965.981257345
0.5,true,25,0.47491510523550284,0.043678007456554035,0.043678007456554035,0.0007120154027212039,0.0007120154027212039,-0.0000012542447368174817,1.825684888044782e-8,2407096.2733766506,1.825680520121382e-8,1463831.4453972022,1.825684888044782e-8,2407096.2733766506,1.825680520121382e-8,1463831.4453972022
0.75,true,25,0.7026255509010686,0.1508454842981382,0.1508454842981382,0.011058804415976467,0.01105880441597647,-0.000002368722453539195,2.835592384813025e-7,154987.87924350644,2.835590876385917e-7,140902.46816314993,2.835592384813025e-7,154987.87924350644,2.8355908763859143e-7,140902.46816315004
1,true,25,0.8932539572795478,0.26758295033363066,0.26758295033363066,0.05941468332529107,0.05941468332529105,-0.000005337302134615236,0.0000015234536863295981,28847.855072002974,0.0000015234534187437334,26973.887497597676,0.0000015234536863295981,28847.855072002974,0.0000015234534187437349,26973.887497597654
1.25,true,25,1.0503078619790749,0.38628822170032895,0.38628822170032895,0.14218442637873327,0.14218442637873327,-0.000009984606899638871,0.000003645754908976995,12054.674283537535,0.000003645754522687139,11314.54525825116,0.000003645754908976995,12054.674283537535,0.000003645754522687139,11314.54525825116
1.5,true,25,1.1927064284352598,0.5056836094673727,0.5056836094673727,0.2399758911047433,0.2399758911047434,-0.000015364678576829642,0.000006153228482839295,7142.330726095529,0.000006153227977155143,6711.2883302903,0.000006153228482839295,7142.330726095529,0.0000061532279771551264,6711.288330290318
2,true,25,1.460223662210043,0.7452518144271943,0.7452518144271943,0.4532707171149898,0.4532707171149898,-0.000026988816886683097,0.000011622326825428918,3781.376731074792,0.000011622326080176474,3555.88381162132,0.000011622326825428918,3781.376731074792,0.000011622326080176474,3555.88381162132
2.5,true,25,1.7178421185978872,0.9852576913826105,0.9852576913826107,0.676711789957188,0.6767117899571881,-0.00003910789406729088,0.000017351585343329885,2532.8174110659447,0.00001735158435807099,2382.455376589593,0.00001735158534332982,2532.8174110659543,0.00001735158435807099,2382.455376589593
3,true,25,1.9708220832705927,1.2254668205090455,1.2254668205090455,0.9049073167995287,0.9049073167995288,-0.00005145889583365562,0.000023202752938418708,1894.1027481755525,0.00002320275171295129,1781.9171338020162,0.000023202752938418708,1894.1027481755525,0.00002320275171295123,1781.9171338020208
