vcmd,iterations,diode,vd_v,raw_vd_v,id_ua,gd_us,rd_kohm,in_stated_range,left_path_v,right_path_v
0,1,D3_SSD55,0,0,0,0.000001,1000000000,false,0,0
0,1,D4_OA154Q,0,0,0,0.000001,1000000000,false,0,0
0,1,D2_SSD55,0,0,0,0.000001,1000000000,false,0,0
0,1,D1_OA154Q,0,0,0,0.000001,1000000000,false,0,0
0.25,49,D3_SSD55,0.11880096116079412,0.11880096116079412,0.0026452673681704297,0.14155568374956085,7064.357809674331,false,0.23760106789932262,0.23760106789932262
0.25,49,D4_OA154Q,0.1188001067385285,0.1188001067385285,0.0026451484648464304,0.1415503389357517,7064.624553487576,false,0.23760106789932262,0.23760106789932262
0.25,49,D2_SSD55,0.11880096116079414,0.11880096116079414,0.002645267368170431,0.14155568374956093,7064.357809674328,false,0.23760106789932262,0.23760106789932262
0.25,49,D1_OA154Q,0.11880010673852849,0.11880010673852849,0.002645148464846428,0.14155033893575164,7064.624553487581,false,0.23760106789932262,0.23760106789932262
0.5,49,D3_SSD55,0.23125608942155157,0.23125608942155157,0.1699915048966186,4.67317164491326,213.98743208769113,false,0.462512127064028,0.462512127064028
0.5,49,D4_OA154Q,0.23125603764247646,0.23125603764247646,0.16999126701105233,4.673166151630669,213.98768362880847,false,0.462512127064028,0.462512127064028
0.5,49,D2_SSD55,0.23125608942155157,0.23125608942155157,0.1699915048966186,4.67317164491326,213.98743208769113,false,0.462512127064028,0.462512127064028
0.5,49,D1_OA154Q,0.23125603764247646,0.23125603764247646,0.16999126701105233,4.673166151630669,213.98768362880847,false,0.462512127064028,0.462512127064028
0.75,49,D3_SSD55,0.3131515041405086,0.3131515041405086,1.1306039486091588,22.952695092303802,43.56786843455725,false,0.626302992449209,0.626302992449209
0.75,49,D4_OA154Q,0.3131514883087003,0.3131514883087003,1.1306035913638979,22.9526890001766,43.567879998387376,false,0.626302992449209,0.626302992449209
0.75,49,D2_SSD55,0.31315150414050863,0.31315150414050863,1.13060394860916,22.952695092303827,43.567868434557205,false,0.626302992449209,0.626302992449209
0.75,49,D1_OA154Q,0.31315148830870027,0.31315148830870027,1.1306035913638963,22.952689000176576,43.56787999838742,false,0.626302992449209,0.626302992449209
1,49,D3_SSD55,0.3640209662989472,0.3640209662989472,2.8965754705892173,50.58667585560151,19.768051232590903,true,0.7280419230067877,0.7280419230067876
1,49,D4_OA154Q,0.3640209567078405,0.3640209567078405,2.89657499360154,50.58666885818469,19.768053967012786,true,0.7280419230067877,0.7280419230067876
1,49,D2_SSD55,0.36402096629894726,0.36402096629894726,2.8965754705892204,50.586675855601555,19.76805123259089,true,0.7280419230067877,0.7280419230067876
1,49,D1_OA154Q,0.3640209567078404,0.3640209567078404,2.8965749936015346,50.5866688581846,19.76805396701282,true,0.7280419230067877,0.7280419230067876
1.25,49,D3_SSD55,0.39839204556890306,0.39839204556890306,5.0908051648745385,81.23693119320743,12.309672279737892,true,0.7967840836635122,0.7967840836635122
1.25,49,D4_OA154Q,0.3983920380946091,0.3983920380946091,5.09080456794099,81.2369231916908,12.309673492192074,true,0.7967840836635122,0.7967840836635122
1.25,49,D2_SSD55,0.3983920455689032,0.3983920455689032,5.090805164874548,81.23693119320754,12.309672279737875,true,0.7967840836635122,0.7967840836635122
1.25,49,D1_OA154Q,0.398392038094609,0.398392038094609,5.090804567940981,81.23692319169069,12.309673492192093,true,0.7967840836635122,0.7967840836635122
1.5,49,D3_SSD55,0.4239877601440063,0.4239877601440063,7.5128221181477475,112.64903569315906,8.8771288084868,true,0.8479755138138727,0.8479755138138727
1.5,49,D4_OA154Q,0.4239877536698664,0.4239877536698664,7.512821401159778,112.64902666258143,8.877129520127221,true,0.8479755138138727,0.8479755138138727
1.5,49,D2_SSD55,0.4239877601440063,0.4239877601440063,7.5128221181477475,112.64903569315906,8.8771288084868,true,0.8479755138138727,0.8479755138138727
1.5,49,D1_OA154Q,0.4239877536698664,0.4239877536698664,7.512821401159778,112.64902666258143,8.877129520127221,true,0.8479755138138727,0.8479755138138727
2,51,D3_SSD55,0.46124794317693163,0.46124794317693163,12.71847749615383,175.29857066537502,5.704553073104548,true,0.9224958807992503,0.9224958807992502
2,51,D4_OA154Q,0.4612479376223186,0.4612479376223186,12.718476538883724,175.2985595823827,5.704553433766486,true,0.9224958807992503,0.9224958807992502
2,51,D2_SSD55,0.46124794317693163,0.46124794317693163,12.71847749615383,175.29857066537502,5.704553073104548,true,0.9224958807992503,0.9224958807992502
2,51,D1_OA154Q,0.4612479376223185,0.4612479376223185,12.718476538883712,175.29855958238258,5.704553433766489,true,0.9224958807992503,0.9224958807992502
3,53,D3_SSD55,0.5098954961903854,0.5098954961903854,23.80138392138509,296.7554648401538,3.3697778759984964,true,1.0197909874512647,1.0197909874512645
3,53,D4_OA154Q,0.5098954912608792,0.5098954912608792,23.801382483234175,296.75544977823637,3.3697780470326464,true,1.0197909874512647,1.0197909874512645
3,53,D2_SSD55,0.5098954961903854,0.5098954961903854,23.80138392138509,296.7554648401538,3.3697778759984964,true,1.0197909874512647,1.0197909874512645
3,53,D1_OA154Q,0.5098954912608791,0.5098954912608791,23.801382483234146,296.75544977823597,3.3697780470326513,true,1.0197909874512647,1.0197909874512645
